2088701244,9
2088701390,8
2088701610,9
2088701746,0
2088702198,7
2088702199,6
2088702200,8
2088702201,9
2088702202,5
2088702203,6
2088702204,6
2088702205,8
2088702206,8
2088702207,18
2088702221,9
2088707042,8
2098700024,8
2098700026,6
2098700033,8
2098700046,8
2098700056,7
2098700058,8
2098700076,7
2098700083,8
2098700086,8
2098700108,8
2098700143,7
2098700154,8
2098700177,7
2098700189,8
2098700289,7
2098700290,6
2098700293,7
2098700296,9
2098700301,7
2098700302,10
2098700304,7
2098700305,7
2098700306,10
2098700307,9
2098700309,9
2098700315,6
2098700316,9
2098700320,10
2098700322,9
2098700353,9
2098700355,9
2098700356,9
2098700357,8
2098700358,6
2098700366,8
2098700371,8
2098700372,7
2098700373,8
2098700374,7
2098700378,9
2098706005,8
2098706008,8
2098706009,8
2098706010,8
2098706011,8
2098706013,10
2098706018,8
2098706021,7
2098706023,7
2098706024,6
2098706025,7
2098706026,6
2098706028,8
2098706031,6
2098706032,6
2098706040,7
2098706041,8
2098706044,7
2098706083,8
2098706084,7
2099700025,9
2099700030,13
2154140049,2
2154140222,8
2154140224,8
2154140225,8
2154140229,8
2154140243,8
2154140283,8
2154140284,8
2154140287,8
2154140289,8
2154140290,8
2154140293,8
2154140294,9
2154140295,9
2154140318,8
2154140319,8
2154150035,7
2154150089,9
2154150163,9
2154150214,7
2154150215,9
2154150247,2
2154150250,2
2154150337,9
2154150341,8
2154150342,10
2154150348,9
2154150380,9
2154150391,9
2154150447,9
2154150461,9
2154150554,2
2154150563,4
2154150582,9
2154150588,7
2154150603,9
2154150605,8
2154150633,9
2154150669,9
2154150672,9
2154150706,9
2154150707,9
2154150715,8
2154155136,9
2154160029,9
2154160030,9
2154160031,9
2154160032,8
2154160033,8
2154160034,9
2154160035,9
2154170049,17
2154170050,19
2154170052,13
